rank,account_id,account_name,arr,ae_owner,tier,data_score,qual_delta,score,data_flags,champion_left,rfp_active,expansion_likely,ae_note,renewal,usage,tickets,nps,top_reason
1,A04,Olympia Advisors,65000,Marcus,WATCH,12,+35,47,,,✓,,procurement RFP'd 3 competitors last week — Sarah confirmed,renewal in 94d,usage GROWING (14d stale),0 tickets,NPS 9 promoter (n=8),RFP active — procurement evaluating competitors | renewal in 94d
2,A10,Crossway Insurance,110000,Marcus,HIGH,83,+25,100,,✓,,,Mike Chen left Apr 22 — no successor named yet,renewal in 68d,"usage DECLINING steeply (>30% drop, 14d stale)",4 real tickets,NPS 4 detractor (n=6),"champion left | usage DECLINING steeply (>30% drop, 14d stale)"
3,A17,Summit Risk Group,91000,Marcus,HIGH,92,+25,100,,✓,,,David Okafor left May 1 — replacement starts June,renewal in 26d,"usage DECLINING steeply (>30% drop, 14d stale)",3 real tickets (1 tagged bug excl.),NPS 6 detractor (n=4),"champion left | usage DECLINING steeply (>30% drop, 14d stale)"
4,A01,Meridian Financial,85000,Marcus,HIGH,91,—,91,nps:excl(n=2),,,,,renewal in 30d,"usage DECLINING steeply (>30% drop, 14d stale)",3 real tickets,"NPS 6 (detractor, n=2 — excluded, low sample)","usage DECLINING steeply (>30% drop, 14d stale) | renewal in 30d"
5,A06,Silverton Capital,95000,Marcus,HIGH,91,—,91,,,,,,renewal in 19d,"usage DECLINING steeply (>30% drop, 14d stale)",4 real tickets (2 tagged bug excl.),NPS: no data,"usage DECLINING steeply (>30% drop, 14d stale) | renewal in 19d"
6,A03,Crestline Manufacturing,42000,Marcus,HIGH,81,—,81,nps:excl(n=1),,,,,renewal in 15d,"usage DECLINING steeply (>30% drop, 14d stale)",1 real ticket (2 tagged bug excl.),"NPS 3 (detractor, n=1 — excluded, low sample)","usage DECLINING steeply (>30% drop, 14d stale) | renewal in 15d"
7,A13,Greystone Partners,88000,Marcus,HIGH,52,+25,77,,✓,,,Jennifer Park left Apr 8 — interim contact is admin assistant,renewal in 43d,usage FLAT (14d stale),0 tickets,NPS 8 passive (n=7),champion left | renewal in 43d
8,A26,Redwood Compliance,70000,Marcus,HIGH,71,—,71,,,,,,renewal in 135d,"usage DECLINING steeply (>30% drop, 14d stale)",3 real tickets,NPS 4 detractor (n=8),"usage DECLINING steeply (>30% drop, 14d stale) | NPS 4 detractor (n=8)"
9,A08,Pemberton Legal,28000,Marcus,HIGH,69,—,69,nps:excl(n=1),,,,,renewal in 17d,"usage DECLINING (>15% drop, 14d stale)",1 real ticket (1 tagged bug excl.),"NPS 5 (detractor, n=1 — excluded, low sample)","renewal in 17d | usage DECLINING (>15% drop, 14d stale)"
10,A29,Astoria Risk,81000,Marcus,HIGH,63,—,63,,,,,,renewal in 48d,usage FLAT (14d stale),2 real tickets,NPS 5 detractor (n=6),renewal in 48d | NPS 5 detractor (n=6)
